2025-12-12 14:53:14 PKT ERROR:  relation "public.subscribers" does not exist at character 63
2025-12-12 14:53:14 PKT STATEMENT:  SELECT COUNT(*) FROM (SELECT "public"."subscribers"."id" FROM "public"."subscribers" WHERE "public"."subscribers"."isActive" = $1 OFFSET $2) AS "sub"
2025-12-12 14:53:14 PKT ERROR:  relation "public.bookings" does not exist at character 60
2025-12-12 14:53:14 PKT STATEMENT:  SELECT COUNT(*) FROM (SELECT "public"."bookings"."id" FROM "public"."bookings" WHERE ("public"."bookings"."date" >= $1 AND "public"."bookings"."date" < $2) OFFSET $3) AS "sub"
2025-12-12 14:53:14 PKT ERROR:  relation "public.bootcamps" does not exist at character 61
2025-12-12 14:53:14 PKT STATEMENT:  SELECT COUNT(*) FROM (SELECT "public"."bootcamps"."id" FROM "public"."bootcamps" WHERE "public"."bootcamps"."isActive" = $1 OFFSET $2) AS "sub"
2025-12-12 14:54:32 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 14:54:32 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 14:54:33 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 14:54:33 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 14:54:33 PKT ERROR:  relation "public.subscribers" does not exist at character 63
2025-12-12 14:54:33 PKT STATEMENT:  SELECT COUNT(*) FROM (SELECT "public"."subscribers"."id" FROM "public"."subscribers" WHERE "public"."subscribers"."isActive" = $1 OFFSET $2) AS "sub"
2025-12-12 14:54:33 PKT ERROR:  relation "public.bookings" does not exist at character 60
2025-12-12 14:54:33 PKT STATEMENT:  SELECT COUNT(*) FROM (SELECT "public"."bookings"."id" FROM "public"."bookings" WHERE ("public"."bookings"."date" >= $1 AND "public"."bookings"."date" < $2) OFFSET $3) AS "sub"
2025-12-12 14:54:33 PKT ERROR:  relation "public.bootcamps" does not exist at character 61
2025-12-12 14:54:33 PKT STATEMENT:  SELECT COUNT(*) FROM (SELECT "public"."bootcamps"."id" FROM "public"."bootcamps" WHERE "public"."bootcamps"."isActive" = $1 OFFSET $2) AS "sub"
2025-12-12 14:54:34 PKT ERROR:  relation "public.subscribers" does not exist at character 63
2025-12-12 14:54:34 PKT STATEMENT:  SELECT COUNT(*) FROM (SELECT "public"."subscribers"."id" FROM "public"."subscribers" WHERE "public"."subscribers"."isActive" = $1 OFFSET $2) AS "sub"
2025-12-12 14:54:34 PKT ERROR:  relation "public.bookings" does not exist at character 60
2025-12-12 14:54:34 PKT STATEMENT:  SELECT COUNT(*) FROM (SELECT "public"."bookings"."id" FROM "public"."bookings" WHERE ("public"."bookings"."date" >= $1 AND "public"."bookings"."date" < $2) OFFSET $3) AS "sub"
2025-12-12 14:54:34 PKT ERROR:  relation "public.bootcamps" does not exist at character 61
2025-12-12 14:54:34 PKT STATEMENT:  SELECT COUNT(*) FROM (SELECT "public"."bootcamps"."id" FROM "public"."bootcamps" WHERE "public"."bootcamps"."isActive" = $1 OFFSET $2) AS "sub"
2025-12-12 14:56:06 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 14:56:06 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 14:56:12 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 14:56:12 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 14:56:20 PKT ERROR:  relation "public_users" does not exist at character 68
2025-12-12 14:56:20 PKT STATEMENT:  SELECT id, email, name, image, "isPaid", "subscriptionStatus" FROM public_users WHERE id = '68da82ca-caec-5f9d-17be-a60b000000000000'
2025-12-12 14:56:23 PKT ERROR:  relation "public_users" does not exist at character 68
