2025-12-08 23:33:36 PKT STATEMENT:  INSERT INTO "public"."analysts" ("id","analystId","name","calendly","createdAt","updatedAt") VALUES ($1,$2,$3,$4,$5,$6) RETURNING "public"."analysts"."id", "public"."analysts"."analystId", "public"."analysts"."name", "public"."analysts"."calendly", "public"."analysts"."createdAt", "public"."analysts"."updatedAt"
2025-12-08 23:33:36 PKT ERROR:  insert or update on table "analysts" violates foreign key constraint "analysts_analystId_fkey"
2025-12-08 23:33:36 PKT DETAIL:  Key (analystId)=(6) is not present in table "team".
2025-12-08 23:33:36 PKT STATEMENT:  INSERT INTO "public"."analysts" ("id","analystId","name","calendly","createdAt","updatedAt") VALUES ($1,$2,$3,$4,$5,$6) RETURNING "public"."analysts"."id", "public"."analysts"."analystId", "public"."analysts"."name", "public"."analysts"."calendly", "public"."analysts"."createdAt", "public"."analysts"."updatedAt"
2025-12-08 23:33:36 PKT ERROR:  insert or update on table "analysts" violates foreign key constraint "analysts_analystId_fkey"
2025-12-08 23:33:36 PKT DETAIL:  Key (analystId)=(7) is not present in table "team".
2025-12-08 23:33:36 PKT STATEMENT:  INSERT INTO "public"."analysts" ("id","analystId","name","calendly","createdAt","updatedAt") VALUES ($1,$2,$3,$4,$5,$6) RETURNING "public"."analysts"."id", "public"."analysts"."analystId", "public"."analysts"."name", "public"."analysts"."calendly", "public"."analysts"."createdAt", "public"."analysts"."updatedAt"
2025-12-08 23:33:41 PKT ERROR:  insert or update on table "reviews" violates foreign key constraint "reviews_analystId_fkey"
2025-12-08 23:33:41 PKT DETAIL:  Key (analystId)=(0) is not present in table "team".
2025-12-08 23:33:41 PKT STATEMENT:  INSERT INTO "public"."reviews" ("id","analystId","analystName","reviewerName","userId","reviewerId","userProfilePicture","rating","comment","reviewDate","status","createdAt","updatedAt","approvedAt","rejectedAt") VALUES ($1,$2,$3,$4,$5,$6,$7,$8,$9,$10,$11,$12,$13,$14,$15) RETURNING "public"."reviews"."id", "public"."reviews"."analystId", "public"."reviews"."analystName", "public"."reviews"."reviewerName", "public"."reviews"."userId", "public"."reviews"."reviewerId", "public"."reviews"."userProfilePicture", "public"."reviews"."rating", "public"."reviews"."comment", "public"."reviews"."reviewDate", "public"."reviews"."status", "public"."reviews"."createdAt", "public"."reviews"."updatedAt", "public"."reviews"."approvedAt", "public"."reviews"."rejectedAt"
2025-12-08 23:33:41 PKT ERROR:  insert or update on table "reviews" violates foreign key constraint "reviews_analystId_fkey"
2025-12-08 23:33:41 PKT DETAIL:  Key (analystId)=(2) is not present in table "team".
2025-12-08 23:33:41 PKT STATEMENT:  INSERT INTO "public"."reviews" ("id","analystId","analystName","reviewerName","userId","reviewerId","userProfilePicture","rating","comment","reviewDate","status","createdAt","updatedAt","approvedAt","rejectedAt") VALUES ($1,$2,$3,$4,$5,$6,$7,$8,$9,$10,$11,$12,$13,$14,$15) RETURNING "public"."reviews"."id", "public"."reviews"."analystId", "public"."reviews"."analystName", "public"."reviews"."reviewerName", "public"."reviews"."userId", "public"."reviews"."reviewerId", "public"."reviews"."userProfilePicture", "public"."reviews"."rating", "public"."reviews"."comment", "public"."reviews"."reviewDate", "public"."reviews"."status", "public"."reviews"."createdAt", "public"."reviews"."updatedAt", "public"."reviews"."approvedAt", "public"."reviews"."rejectedAt"
2025-12-08 23:33:41 PKT ERROR:  insert or update on table "reviews" violates foreign key constraint "reviews_analystId_fkey"
2025-12-08 23:33:41 PKT DETAIL:  Key (analystId)=(5) is not present in table "team".
2025-12-08 23:33:41 PKT STATEMENT:  INSERT INTO "public"."reviews" ("id","analystId","analystName","reviewerName","userId","reviewerId","userProfilePicture","rating","comment","reviewDate","status","createdAt","updatedAt","approvedAt","rejectedAt") VALUES ($1,$2,$3,$4,$5,$6,$7,$8,$9,$10,$11,$12,$13,$14,$15) RETURNING "public"."reviews"."id", "public"."reviews"."analystId", "public"."reviews"."analystName", "public"."reviews"."reviewerName", "public"."reviews"."userId", "public"."reviews"."reviewerId", "public"."reviews"."userProfilePicture", "public"."reviews"."rating", "public"."reviews"."comment", "public"."reviews"."reviewDate", "public"."reviews"."status", "public"."reviews"."createdAt", "public"."reviews"."updatedAt", "public"."reviews"."approvedAt", "public"."reviews"."rejectedAt"
2025-12-08 23:33:41 PKT ERROR:  insert or update on table "reviews" violates foreign key constraint "reviews_analystId_fkey"
2025-12-08 23:33:41 PKT DETAIL:  Key (analystId)=(0) is not present in table "team".
